psu,entercollege,over475,loantakeup
396,0,0,0
402.5,0,0,0
485,0,1,1
461.5,0,0,0
394,0,0,0
409,0,0,0
475,0,1,1
421,0,0,0
406.5,0,0,0
424,0,0,0
499.5,1,1,1
346,1,0,0
441.5,0,0,0
360,0,0,0
344.5,0,0,0
393,0,0,0
379.5,0,0,0
460,0,0,0
456,0,0,0
308.5,0,0,0
349,0,0,0
398,0,0,0
451.5,0,0,0
387.5,0,0,0
552,0,1,1
461.5,0,0,0
410,0,0,0
416.5,0,0,0
408,0,0,0
479,1,1,1
357,0,0,0
350,0,0,0
407,0,0,0
350.5,0,0,0
489.5,1,1,1
308,0,0,0
385,0,0,0
520,0,1,1
498,0,1,0
426.5,0,0,0
337.5,0,0,0
450,0,0,0
381,0,0,0
444,0,0,0
458.5,0,0,0
450,0,0,0
380.5,0,0,0
421.5,0,0,0
504,1,1,1
324,0,0,0
361,0,0,0
388,0,0,0
365.5,0,0,0
306,0,0,0
351,0,0,0
414.5,0,0,0
320.5,0,0,0
318,0,0,0
393,0,0,0
427,0,0,0
347.5,0,0,0
319.5,0,0,0
379.5,0,0,0
387,0,0,0
376.5,0,0,0
442.5,0,0,0
315.5,0,0,0
472.5,0,0,0
526,1,1,1
427,0,0,0
373.5,0,0,0
393.5,0,0,0
491.5,1,1,0
361,0,0,0
398.5,0,0,0
467.5,0,0,0
338,0,0,0
405.5,0,0,0
346.5,0,0,0
457.5,0,0,0
417,0,0,0
386.5,0,0,0
389.5,0,0,0
332,0,0,0
433.5,0,0,0
442.5,0,0,0
407.5,0,0,0
416.5,0,0,0
545,1,1,0
398.5,0,0,0
324.5,0,0,0
323,0,0,0
307.5,0,0,0
462.5,1,0,0
394,0,0,0
413,0,0,0
314.5,0,0,0
517.5,1,1,0
419,0,0,0
397.5,0,0,0
453,0,0,0
417,0,0,0
441.5,0,0,0
308,0,0,0
306.5,0,0,0
399,0,0,0
375.5,0,0,0
355.5,0,0,0
339.5,0,0,0
362.5,0,0,0
436.5,1,0,0
445,0,0,0
409.5,0,0,0
387.5,0,0,0
421.5,0,0,0
417.5,0,0,0
347.5,0,0,0
366.5,0,0,0
472.5,0,0,0
339.5,0,0,0
326.5,0,0,0
350.5,0,0,0
317,0,0,0
341,0,0,0
384,0,0,0
502,1,1,1
345,0,0,0
386,0,0,0
475,0,1,1
421,0,0,0
350.5,0,0,0
337,0,0,0
317,0,0,0
477,0,1,1
389.5,0,0,0
481,1,1,1
404,0,0,0
343,0,0,0
441,0,0,0
463,0,0,0
325,0,0,0
450,0,0,0
355.5,0,0,0
344.5,0,0,0
453,0,0,0
428.5,0,0,0
376,0,0,0
400.5,0,0,0
442,0,0,0
379.5,0,0,0
324,0,0,0
330,0,0,0
369.5,0,0,0
381.5,0,0,0
394,0,0,0
338,0,0,0
379.5,0,0,0
484,0,1,1
321.5,0,0,0
472,0,0,0
392.5,0,0,0
343,0,0,0
490.5,1,1,1
447.5,0,0,0
409.5,0,0,0
331.5,0,0,0
425,0,0,0
545.5,1,1,1
379.5,0,0,0
389.5,0,0,0
353.5,0,0,0
403.5,0,0,0
307.5,0,0,0
309.5,1,0,0
475,0,1,1
428,0,0,0
510,0,1,1
399,0,0,0
379.5,0,0,0
416.5,0,0,0
450,1,0,0
545.5,0,1,1
387,0,0,0
349.5,0,0,0
379.5,0,0,0
491.5,0,1,1
419.5,1,0,0
309.5,0,0,0
414,0,0,0
430.5,0,0,0
462.5,0,0,0
427,0,0,0
441,1,0,0
378,0,0,0
453.5,0,0,0
456,0,0,0
359,0,0,0
413,0,0,0
350.5,0,0,0
425.5,0,0,0
349.5,0,0,0
399.5,0,0,0
330,0,0,0
438,0,0,0
392.5,0,0,0
306,0,0,0
449.5,0,0,0
416.5,0,0,0
365.5,0,0,0
360,0,0,0
327.5,0,0,0
335,0,0,0
371.5,0,0,0
470.5,0,0,0
409.5,0,0,0
422,0,0,0
460,0,0,0
402,0,0,0
330.5,0,0,0
